"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"57863","BANKNIFTY-Jun2026-78000-PE","BANKNIFTY 30 JUN 78000 PUT","","5.0000","30","OPTIDX","D","NSE","25774.7500","22194.7500","2026-06-30 14:00:00","78000.0","900"
"57864","BANKNIFTY-Jun2026-79500-CE","BANKNIFTY 30 JUN 79500 CALL","","5.0000","30","OPTIDX","D","NSE","20.0500","0.0500","2026-06-30 14:00:00","79500.0","900"
"57865","BANKNIFTY-Jun2026-79500-PE","BANKNIFTY 30 JUN 79500 PUT","","5.0000","30","OPTIDX","D","NSE","27267.6000","23687.6000","2026-06-30 14:00:00","79500.0","900"
"57555","BANKNIFTY-Jun2026-36000-CE","BANKNIFTY 30 JUN 36000 CALL","","5.0000","30","OPTIDX","D","NSE","19604.7000","16025.1000","2026-06-30 14:00:00","36000.0","900"
"57556","BANKNIFTY-Jun2026-36000-PE","BANKNIFTY 30 JUN 36000 PUT","","5.0000","30","OPTIDX","D","NSE","20.0500","0.0500","2026-06-30 14:00:00","36000.0","900"
"57557","BANKNIFTY-Jun2026-37500-CE","BANKNIFTY 30 JUN 37500 CALL","","5.0000","30","OPTIDX","D","NSE","18111.8500","14532.2500","2026-06-30 14:00:00","37500.0","900"
"57558","BANKNIFTY-Jun2026-37500-PE","BANKNIFTY 30 JUN 37500 PUT","","5.0000","30","OPTIDX","D","NSE","20.0500","0.0500","2026-06-30 14:00:00","37500.0","900"
"57559","BANKNIFTY-Jun2026-39000-CE","BANKNIFTY 30 JUN 39000 CALL","","5.0000","30","OPTIDX","D","NSE","16619.0000","13039.4000","2026-06-30 14:00:00","39000.0","900"
"57560","BANKNIFTY-Jun2026-39000-PE","BANKNIFTY 30 JUN 39000 PUT","","5.0000","30","OPTIDX","D","NSE","20.0500","0.0500","2026-06-30 14:00:00","39000.0","900"
"57561","BANKNIFTY-Jun2026-40500-CE","BANKNIFTY 30 JUN 40500 CALL","","5.0000","30","OPTIDX","D","NSE","15126.1500","11546.5500","2026-06-30 14:00:00","40500.0","900"
