security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange
4732,SKMEGGPROD,Skm Egg Prod Export,EQ,5,1,ES,E,NSE
21551,SMSLIFE,SMS Lifesciences,EQ,5,1,ES,E,NSE
11689,SUPRAJIT,Suprajit Engineering,EQ,5,1,ES,E,NSE
9889,SMARTLINK,Smartlink Holdings,EQ,5,1,ES,E,NSE
13577,VOLTAMP,Voltamp Transformers,EQ,5,1,ES,E,NSE
7303,VISESHINFO,Visesh Infotecnics,EQ,5,1,ES,E,NSE
4306,SHRIRAMFIN,Shriram Finance Limited,EQ,5,1,ES,E,NSE
14413,PAGEIND,Page Industries,EQ,5,1,ES,E,NSE
6600,GENUSPAPER,Genus P&B,EQ,5,1,ES,E,NSE
14894,CENTRALBK,Central Bank Of India,EQ,5,1,ES,E,NSE
17957,MMTC,MMTC,EQ,5,1,ES,E,NSE
14086,IGPL,I G Petrochemicals,EQ,5,1,ES,E,NSE
9668,HIKAL,Hikal,EQ,5,1,ES,E,NSE
11987,ICIL,Indo Count Industries,EQ,5,1,ES,E,NSE
20321,SHANKARA,Shankara Building Product,EQ,5,1,ES,E,NSE
13725,DCBBANK,DCB Bank,EQ,5,1,ES,E,NSE
15377,PDMJEPAPER,Pudumjee Paper Pro.,EQ,5,1,ES,E,NSE
11236,JSL,Jindal Stainless,EQ,5,1,ES,E,NSE
3694,VINDHYATEL,Vindhya Telelinks,EQ,5,1,ES,E,NSE
15049,ENERGYDEV,ENERGY DEVE. CO.LTD,EQ,5,1,ES,E,NSE
11233,SUVEN,Suven Life Sciences,EQ,5,1,ES,E,NSE
14334,HSCL,Himadri Speciality Chemicals,EQ,5,1,ES,E,NSE
3456,TATAMOTORS,Tata Motors,EQ,5,1,ES,E,NSE
16900,DPWIRES,D P Wires,EQ,5,1,ES,E,NSE
24409,DHANUKA,Dhanuka Agritech,EQ,5,1,ES,E,NSE
24538,MAITHANALL,Maithan Alloys,EQ,5,1,ES,E,NSE
15278,ONMOBILE,Onmobile Global,EQ,5,1,ES,E,NSE
399,NIACL,The New India Assu Co,EQ,5,1,ES,E,NSE
11943,MCLEODRUSS,Mcleod Russel India,EQ,5,1,ES,E,NSE
15259,RPOWER,Reliance Power,EQ,5,1,ES,E,NSE
29113,CARERATING,Care Ratings,EQ,5,1,ES,E,NSE
4491,JCHAC,Johnson Controls Hitachi,EQ,5,1,ES,E,NSE
14314,TTL,T T,EQ,5,1,ES,E,NSE
2028,LYKALABS,Lyka Labs,EQ,5,1,ES,E,NSE
3744,FINEORG,Fine Organic Industries,EQ,5,1,ES,E,NSE
471,OSWALGREEN,Oswal greentech limited,EQ,5,1,ES,E,NSE
4907,ENGINERSIN,Engineers India,EQ,5,1,ES,E,NSE
15146,JYOTHYLAB,Jyothy Labs,EQ,5,1,ES,E,NSE
15419,DPSCLTD,Dpsc,EQ,5,1,ES,E,NSE
781,DALMIASUG,Dalmia Bharat,EQ,5,1,ES,E,NSE
1448,HLVLTD,HLV,EQ,5,1,ES,E,NSE
11778,GOKEX,Gokaldas Exports,EQ,5,1,ES,E,NSE
29423,MOHITIND,Mohit Industries,EQ,5,1,ES,E,NSE
13745,GTLINFRA,GTL INFRA.LTD,EQ,5,1,ES,E,NSE
7048,HESTERBIO,Hester Biosciences,EQ,5,1,ES,E,NSE
13081,TRIVENI,Triveni Engineering,EQ,5,1,ES,E,NSE
10440,LUPIN,Lupin,EQ,5,1,ES,E,NSE
10457,ARVSMART,Arvind Smartspaces,EQ,5,1,ES,E,NSE
15239,BIRLAMONEY,Aditya Birla Money,EQ,5,1,ES,E,NSE
827,DEEPAKFERT,Deepak Fertilizers & Petr,EQ,5,1,ES,E,NSE
13572,MANUGRAPH,Manugraph India,EQ,5,1,ES,E,NSE
17939,HINDCOPPER,Hindustan Copper,EQ,5,1,ES,E,NSE
2331,JAYNECOIND,Jayaswal Neco Industr,EQ,5,1,ES,E,NSE
