DATE,STRATEGY,STOCK,SYMBOL,TARGET,STOP_LOSS,LOT,TYPE,OPEN_PRICE,OPEN_QTY,CLOSE_PRICE,CLOSE_QTY,DTE
05-Jun-2024,OPTIONS,DIVIS LABORATORIES LIMITED,DIVLAB-27-Jun-2024-4500-CE,210.0,99.0,200,OPEN,-142.0,200,135.0,200,22
11-Jun-2024,OPTIONS,DIVIS LABORATORIES LIMITED,DIVLAB-27-Jun-2024-4500-CE,210.0,99.0,200,CLOSE,-142.0,200,135.0,200,22
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-Jun-2024-49900-PE,140.0,20.0,15,OPEN,-70.0,15,70.0,15,0
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-Jun-2024-49900-PE,140.0,20.0,15,CLOSE,-70.0,15,70.0,15,0
14-Jun-2024,OPTIONS,HINDUSTAN PETROLEUM CORP,HINPET-27-Jun-2024-540-CE,25.0,13.0,1350,OPEN,-18.0,1350,18.0,1350,13
14-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-Jun-2024-50100-CE,410.0,245.0,15,OPEN,-305.0,15,305.0,15,5
14-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-Jun-2024-50100-CE,410.0,245.0,15,CLOSE,-305.0,15,305.0,15,5
18-Jun-2024,OPTIONS,HINDUSTAN PETROLEUM CORP,HINPET-27-Jun-2024-540-CE,25.0,13.0,1350,CLOSE,-18.0,1350,18.0,1350,13
18-Jun-2024,OPTIONS,RBL BANK LIMITED,RBLBAN-27-Jun-2024-260-CE,14.0,3.4,2500,OPEN,-7.0,2500,13.0,2500,9
19-Jun-2024,OPTIONS,RBL BANK LIMITED,RBLBAN-27-Jun-2024-260-CE,14.0,3.4,2500,CLOSE,-7.0,2500,13.0,2500,9
20-Jun-2024,OPTIONS,VEDANTA LIMITED,VEDLIM-27-Jun-2024-460-CE,18.0,6.0,2300,OPEN,-11.0,2300,18.0,2300,7
20-Jun-2024,OPTIONS,VEDANTA LIMITED,VEDLIM-27-Jun-2024-460-CE,18.0,6.0,2300,CLOSE,-11.0,2300,18.0,2300,7
21-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-Jun-2024-23000-PE,165.0,122.0,40,OPEN,-135.0,40,0.0,0,4
24-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-Jun-2024-51300-CE,438.0,270.0,15,OPEN,-338.0,15,264.3,15,2
24-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-Jun-2024-51300-CE,438.0,270.0,15,CLOSE,-338.0,15,264.3,15,2
24-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-Jun-2024-23050-PE,117.0,66.0,40,OPEN,-87.0,40,65.9,40,1
24-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-Jun-2024-23050-PE,117.0,66.0,40,CLOSE,-87.0,40,65.9,40,1
